다바, 96, 182 
마나, 49, 191 
타가, 78, 169 
나차, 55, 161 
바나, 69, 141 
타하, 77, 140 
가라, 57, 176 
차나, 82, 166 
바타, 50, 144 
바바, 64, 178 
카타, 51, 193 
아다, 99, 165 
카나, 50, 176 
차다, 75, 189 
차자, 70, 189 
다바, 96, 147 
타다, 47, 195 
파마, 67, 169 
라나, 51, 190 
카아, 70, 149 
가하, 70, 140 
라가, 96, 163 
나가, 52, 192 
가다, 81, 159 
나라, 55, 167 
차바, 67, 181 
카사, 96, 140 
가하, 70, 152 
라파, 68, 194 
차파, 88, 197 
사나, 70, 165 
바나, 51, 148 
타바, 94, 188 
자나, 85, 189 
파마, 74, 183 
타자, 66, 149 
아가, 71, 182 
다카, 65, 186 
카카, 62, 171 
사타, 92, 148 
사나, 46, 195 
카차, 66, 182 
나타, 92, 192 
차아, 83, 197 
나자, 63, 197 
다마, 69, 148 
가바, 85, 165 
타사, 70, 150 
바카, 71, 181 
카사, 90, 153 
하자, 78, 155 
차하, 82, 144 
사나, 85, 176 
자아, 60, 161 
가가, 78, 189 
가아, 41, 156 
자아, 78, 185 
가타, 82, 174 
하자, 97, 157 
사파, 71, 193 
파라, 94, 146 
사타, 92, 187 
마가, 41, 161 
하자, 72, 165 
다차, 93, 155 
사사, 58, 179 
차아, 85, 155 
다라, 62, 163 
가사, 78, 199 
파다, 62, 161 
라자, 91, 187 
나나, 47, 152 
사바, 55, 163 
사마, 68, 154 
차나, 92, 170 
나파, 97, 181 
타마, 80, 164 
아파, 73, 153 
자다, 74, 175 
하나, 58, 199 
바라, 42, 190 
나다, 44, 156 
가하, 66, 154 
카하, 50, 172 
아나, 57, 198 
바나, 73, 188 
파카, 80, 160 
다사, 85, 142 
마라, 83, 182 
자사, 45, 149 
사라, 49, 144 
파자, 48, 144 
차타, 84, 148 
타파, 41, 150 
하바, 65, 181 
다하, 53, 174 
나타, 59, 158 
바파, 80, 192 
차다, 55, 172 
아가, 70, 165 
타차, 43, 142 
아카, 81, 177 
차카, 91, 180 
타차, 48, 160 
나아, 77, 149 
타다, 46, 196 
사자, 86, 155 
나마, 43, 154 
아다, 91, 186 
차가, 94, 141 
카하, 53, 184 
마마, 98, 149 
마아, 59, 157 
라차, 77, 185 
하바, 84, 188 
바타, 53, 158 
카마, 76, 194 
파차, 89, 181 
하차, 89, 197 
라자, 57, 159 
자아, 87, 148 
아자, 78, 163 
바차, 66, 181 
아라, 99, 184 
나타, 51, 174 
아나, 69, 143 
바차, 90, 149 
자라, 60, 174 
마라, 60, 194 
하카, 51, 148 
타파, 98, 148 
